Date,PnL Points,Lot Size,Pnl
21-10-2015,-70.4321264,25,-1760.80
23-10-2015,-71.930906,25,-1798.27
26-10-2015,-71.2050552,25,-1780.13
28-10-2015,215.85,25,5396.25
30-10-2015,-69.78,25,-1744.50
05-11-2015,-68.1896752,25,-1704.74
09-11-2015,215.3,25,5382.50
16-11-2015,-68.8263048,25,-1720.66
18-11-2015,166.6196,25,4165.49
19-11-2015,-68.434316,25,-1710.86
20-11-2015,-69.136468,25,-1728.41
27-11-2015,193,25,4825.00
02-12-2015,52.9079,25,1322.70
04-12-2015,-67.8742,25,-1696.85
08-12-2015,60.018,25,1500.45
09-12-2015,-4.2165,25,-105.41
11-12-2015,218.0986,25,5452.47
16-12-2015,17.672,25,441.80
21-12-2015,3.4683,25,86.71
30-12-2015,-14.1091,25,-352.73
01-01-2016,50.04,25,1251.00
04-01-2016,216.2267,25,5405.67
06-01-2016,-65.6109764,25,-1640.27
07-01-2016,105.0614,25,2626.54
11-01-2016,-63.5468,25,-1588.67
12-01-2016,-63.1313852,25,-1578.28
14-01-2016,-62.099952,25,-1552.50
15-01-2016,45.2768,25,1131.92
20-01-2016,-19,25,-475.00
21-01-2016,-60.28,25,-1507.00
22-01-2016,26.436,25,660.90
05-02-2016,-60.8959348,25,-1522.40
10-02-2016,119.3978,25,2984.95
11-02-2016,311.7516,25,7793.79
15-02-2016,148.3723,25,3709.31
23-02-2016,238.7253,25,5968.13
26-02-2016,20.3722,25,509.30
29-02-2016,-54.4209752,25,-1360.52
02-03-2016,134.5,25,3362.50
04-03-2016,-61.5808124,25,-1539.52
09-03-2016,-61.5518884,25,-1538.80
21-03-2016,79.7486,25,1993.71
28-03-2016,134.2932,25,3357.33
30-03-2016,-63.2256,25,-1580.64
05-04-2016,-64.0592652,25,-1601.48
07-04-2016,-62.1428064,25,-1553.57
11-04-2016,-61.9867748,25,-1549.67
13-04-2016,137.8,25,3445.00
21-04-2016,-66.876,25,-1671.90
26-04-2016,130.2963,25,3257.41
09-05-2016,230.9917,25,5774.79
11-05-2016,51.15,25,1278.75
13-05-2016,99.8223,25,2495.56
18-05-2016,-66.5204,25,-1663.01
25-05-2016,269.3,25,6732.50
01-06-2016,17.6879,25,442.20
07-06-2016,-70.9278,25,-1773.20
10-06-2016,-71.9544796,25,-1798.86
13-06-2016,-0.8,25,-20.00
15-06-2016,75.3472,25,1883.68
16-06-2016,-70.5039548,25,-1762.60
22-06-2016,-70.9934044,25,-1774.84
23-06-2016,81.8509,25,2046.27
24-06-2016,-68.212,25,-1705.30
29-06-2016,6.9528,25,173.82
30-06-2016,95.9,25,2397.50
01-07-2016,-24.8921,25,-622.30
04-07-2016,-72.6644,25,-1816.61
07-07-2016,-49.2202,25,-1230.50
08-07-2016,-71.9631828,25,-1799.08
11-07-2016,61.8,25,1545.00
14-07-2016,131.2229,25,3280.57
18-07-2016,-76.6655452,25,-1916.64
21-07-2016,139.4693,25,3486.73
25-07-2016,96.3353,25,2408.38
27-07-2016,-76.4201996,25,-1910.50
01-07-2016,-24.8921,25,-622.30
04-07-2016,-72.6644,25,-1816.61
07-07-2016,-49.2202,25,-1230.50
08-07-2016,-71.9631828,25,-1799.08
11-07-2016,61.8,25,1545.00
14-07-2016,131.2229,25,3280.57
18-07-2016,-76.6655452,25,-1916.64
21-07-2016,139.4693,25,3486.73
25-07-2016,96.3353,25,2408.38
27-07-2016,-76.4201996,25,-1910.50
01-08-2016,-7.3274,25,-183.19
10-08-2016,122.0786,25,3051.97
12-08-2016,59.6593,25,1491.48
18-08-2016,132.5804,25,3314.51
22-08-2016,-77.0496948,25,-1926.24
26-08-2016,-77.7732204,25,-1944.33
30-08-2016,98.6457,25,2466.14
31-08-2016,-16.0114,25,-400.28
06-09-2016,281.05,25,7026.25
09-09-2016,-81.22,25,-2030.50
15-09-2016,-79.4303336,25,-1985.76
